"chunk_id","doc_uid","doc_id","concept_name","mentions_source"
"09/2023/TT-BLĐTBXH|Thông tư 09/2023/TT-BLĐTBXH Ban hành định mức kinh tế - kỹ thuật về đào tạo ngoại ngữ cho người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng|Điều 4#31","09/2023/TT-BLĐTBXH|Thông tư 09/2023/TT-BLĐTBXH Ban hành định mức kinh tế - kỹ thuật về đào tạo ngoại ngữ cho người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng|Điều 4","163048","người lao động","substring"
"21/2016/NĐ-CP|Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội|Điều 4#0","21/2016/NĐ-CP|Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội|Điều 4","117674","bảo hiểm xã hội","substring"
"21/2016/NĐ-CP|Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội|Điều 4#0","21/2016/NĐ-CP|Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội|Điều 4","117674","bảo hiểm thất nghiệp","substring"
"21/2016/NĐ-CP|Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội|Điều 4#0","21/2016/NĐ-CP|Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội|Điều 4","117674","bảo hiểm y tế","substring"
"143/2004/QĐ-BCN|Quyết định 143/2004/QĐ-BCN Về việc chuyển Công ty Cơ khí dệt may Nam Định thành Công ty cổ phần Cơ khí dệt may Nam Định|Điều 1#0","143/2004/QĐ-BCN|Quyết định 143/2004/QĐ-BCN Về việc chuyển Công ty Cơ khí dệt may Nam Định thành Công ty cổ phần Cơ khí dệt may Nam Định|Điều 1","18701","vốn điều lệ","substring"
"143/2004/QĐ-BCN|Quyết định 143/2004/QĐ-BCN Về việc chuyển Công ty Cơ khí dệt may Nam Định thành Công ty cổ phần Cơ khí dệt may Nam Định|Điều 1#0","143/2004/QĐ-BCN|Quyết định 143/2004/QĐ-BCN Về việc chuyển Công ty Cơ khí dệt may Nam Định thành Công ty cổ phần Cơ khí dệt may Nam Định|Điều 1","18701","công ty cổ phần","substring"
"143/2004/QĐ-BCN|Quyết định 143/2004/QĐ-BCN Về việc chuyển Công ty Cơ khí dệt may Nam Định thành Công ty cổ phần Cơ khí dệt may Nam Định|Điều 1#0","143/2004/QĐ-BCN|Quyết định 143/2004/QĐ-BCN Về việc chuyển Công ty Cơ khí dệt may Nam Định thành Công ty cổ phần Cơ khí dệt may Nam Định|Điều 1","18701","người lao động","substring"
"128/QĐ-UBCK5|Quyết định 128/QĐ-UBCK5 Quyết định ban hành Quy chế tổ chức và hoạt động của Trung tâm Giao dịch và Chứng khoán|Điều 4#0","128/QĐ-UBCK5|Quyết định 128/QĐ-UBCK5 Quyết định ban hành Quy chế tổ chức và hoạt động của Trung tâm Giao dịch và Chứng khoán|Điều 4","7370","kiểm toán","substring"
"18.2016/NQ-HĐND|Nghị quyết 18.2016/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 11/2015/NQ-HĐND ngày 10 tháng 12 năm 2015 của Hội đồng nhân dân tỉnh về việc phê chuẩn dự toán thu, chi ngân sách nhà nước tỉnh An Giang năm 2016|Điều 1#3","18.2016/NQ-HĐND|Nghị quyết 18.2016/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 11/2015/NQ-HĐND ngày 10 tháng 12 năm 2015 của Hội đồng nhân dân tỉnh về việc phê chuẩn dự toán thu, chi ngân sách nhà nước tỉnh An Giang năm 2016|Điều 1","122269","đất đai","substring"
"18.2016/NQ-HĐND|Nghị quyết 18.2016/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 11/2015/NQ-HĐND ngày 10 tháng 12 năm 2015 của Hội đồng nhân dân tỉnh về việc phê chuẩn dự toán thu, chi ngân sách nhà nước tỉnh An Giang năm 2016|Điều 1#3","18.2016/NQ-HĐND|Nghị quyết 18.2016/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 11/2015/NQ-HĐND ngày 10 tháng 12 năm 2015 của Hội đồng nhân dân tỉnh về việc phê chuẩn dự toán thu, chi ngân sách nhà nước tỉnh An Giang năm 2016|Điều 1","122269","quyền sử dụng đất","substring"
"18.2016/NQ-HĐND|Nghị quyết 18.2016/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 11/2015/NQ-HĐND ngày 10 tháng 12 năm 2015 của Hội đồng nhân dân tỉnh về việc phê chuẩn dự toán thu, chi ngân sách nhà nước tỉnh An Giang năm 2016|Điều 1#3","18.2016/NQ-HĐND|Nghị quyết 18.2016/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 11/2015/NQ-HĐND ngày 10 tháng 12 năm 2015 của Hội đồng nhân dân tỉnh về việc phê chuẩn dự toán thu, chi ngân sách nhà nước tỉnh An Giang năm 2016|Điều 1","122269","tiền lương","substring"
