"name","name_lower"
"vốn điều lệ","vốn điều lệ"
"vốn pháp định","vốn pháp định"
"doanh nghiệp tư nhân","doanh nghiệp tư nhân"
"công ty cổ phần","công ty cổ phần"
"công ty trách nhiệm hữu hạn","công ty trách nhiệm hữu hạn"
"công ty TNHH","công ty tnhh"
"công ty hợp danh","công ty hợp danh"
"hộ kinh doanh","hộ kinh doanh"
"hợp tác xã","hợp tác xã"
"người đại diện theo pháp luật","người đại diện theo pháp luật"
"giấy chứng nhận đăng ký doanh nghiệp","giấy chứng nhận đăng ký doanh nghiệp"
"đăng ký kinh doanh","đăng ký kinh doanh"
"ngành nghề kinh doanh","ngành nghề kinh doanh"
"điều lệ công ty","điều lệ công ty"
"thành viên góp vốn","thành viên góp vốn"
"cổ đông sáng lập","cổ đông sáng lập"
"đại hội đồng cổ đông","đại hội đồng cổ đông"
"hội đồng quản trị","hội đồng quản trị"
"ban kiểm soát","ban kiểm soát"
"kiểm soát viên","kiểm soát viên"
"giám đốc","giám đốc"
"tổng giám đốc","tổng giám đốc"
"chi nhánh","chi nhánh"
"văn phòng đại diện","văn phòng đại diện"
"địa điểm kinh doanh","địa điểm kinh doanh"
"góp vốn","góp vốn"
"chuyển nhượng vốn","chuyển nhượng vốn"
"cổ phần phổ thông","cổ phần phổ thông"
"cổ phần ưu đãi","cổ phần ưu đãi"
"sáp nhập","sáp nhập"
"hợp nhất","hợp nhất"
"chia tách","chia tách"
"giải thể","giải thể"
"phá sản","phá sản"
"tạm ngừng kinh doanh","tạm ngừng kinh doanh"
"hợp đồng lao động","hợp đồng lao động"
"người lao động","người lao động"
"người sử dụng lao động","người sử dụng lao động"
"thử việc","thử việc"
"tiền lương","tiền lương"
"phụ cấp","phụ cấp"
"thời giờ làm việc","thời giờ làm việc"
"thời giờ nghỉ ngơi","thời giờ nghỉ ngơi"
"kỷ luật lao động","kỷ luật lao động"
"sa thải","sa thải"
"chấm dứt hợp đồng lao động","chấm dứt hợp đồng lao động"
"bảo hiểm xã hội","bảo hiểm xã hội"
"bảo hiểm y tế","bảo hiểm y tế"
"bảo hiểm thất nghiệp","bảo hiểm thất nghiệp"
"an toàn lao động","an toàn lao động"
"thuế giá trị gia tăng","thuế giá trị gia tăng"
"thuế thu nhập doanh nghiệp","thuế thu nhập doanh nghiệp"
"thuế thu nhập cá nhân","thuế thu nhập cá nhân"
"thuế tiêu thụ đặc biệt","thuế tiêu thụ đặc biệt"
"thuế xuất khẩu","thuế xuất khẩu"
"thuế nhập khẩu","thuế nhập khẩu"
"quản lý thuế","quản lý thuế"
"mã số thuế","mã số thuế"
"kê khai thuế","kê khai thuế"
"khấu trừ thuế","khấu trừ thuế"
"hoàn thuế","hoàn thuế"
"miễn thuế","miễn thuế"
"giảm thuế","giảm thuế"
"hóa đơn điện tử","hóa đơn điện tử"
"hóa đơn giá trị gia tăng","hóa đơn giá trị gia tăng"
"chứng từ kế toán","chứng từ kế toán"
"báo cáo tài chính","báo cáo tài chính"
"kiểm toán","kiểm toán"
"đấu thầu","đấu thầu"
"đầu tư trong nước","đầu tư trong nước"
"đầu tư nước ngoài","đầu tư nước ngoài"
"dự án đầu tư","dự án đầu tư"
"ưu đãi đầu tư","ưu đãi đầu tư"
"giấy chứng nhận đăng ký đầu tư","giấy chứng nhận đăng ký đầu tư"
"đất đai","đất đai"
"quyền sử dụng đất","quyền sử dụng đất"
"tiền thuê đất","tiền thuê đất"
"bảo vệ môi trường","bảo vệ môi trường"
"giấy phép môi trường","giấy phép môi trường"
"phòng cháy chữa cháy","phòng cháy chữa cháy"
